object_type,object_name,contact,role,priority
site,ZA-JNB-DC1,Nora Whitlock,Technical Lead,primary
site,ZA-JNB-DC1,Kenji Sato,Operations Center (NOC),secondary
site,ZA-JNB-DC1,Ophelia Thorne,Facilities Manager,primary
site,NG-LOS-BO1,Osiris Vance,Technical Lead,primary
site,NG-LOS-BO1,Lysandra Vane,Operations Center (NOC),secondary
site,KE-NBO-BO1,Phoebe Glass,Technical Lead,primary
site,KE-NBO-BO1,Sabina Glass,Operations Center (NOC),secondary
site,HK-HKG-DC1,Quintus Vane,Technical Lead,primary
site,HK-HKG-DC1,Atticus Thorne,Operations Center (NOC),secondary
site,HK-HKG-DC1,Freya Nilsen,Facilities Manager,primary
site,HK-HKG-BO1,Ronan Vance,Technical Lead,primary
site,HK-HKG-BO1,Bram Stoker,Operations Center (NOC),secondary
site,CN-SHA-BO1,Stellan Vance,Technical Lead,primary
site,CN-SHA-BO1,Calliope Glass,Operations Center (NOC),secondary
site,CN-BEJ-BO1,Thalia Sterling,Technical Lead,primary
site,CN-BEJ-BO1,Elias Thorne,Operations Center (NOC),secondary
site,TW-TPE-BO1,Valerius Thorne,Technical Lead,primary
site,TW-TPE-BO1,Lachlan Moore,Operations Center (NOC),secondary
site,TH-BKK-BO1,Xenia Vance,Technical Lead,primary
site,TH-BKK-BO1,Rafael Costa,Operations Center (NOC),secondary
site,ID-JKT-BO1,Ariadne Moore,Technical Lead,primary
site,ID-JKT-BO1,Sia Sharma,Operations Center (NOC),secondary
site,PH-MNL-BO1,Aurelia Glass,Technical Lead,primary
site,PH-MNL-BO1,Silas Vane,Operations Center (NOC),secondary
site,VN-HAN-BO1,Beatrix Potter,Technical Lead,primary
site,VN-HAN-BO1,Finnian O'Shea,Operations Center (NOC),secondary
site,JP-TYO-DC1,Celia Vora,Technical Lead,primary
site,JP-TYO-DC1,Kenji Sato,Operations Center (NOC),secondary
site,JP-TYO-DC1,Freya Nilsen,Facilities Manager,primary
site,JP-TYO-BO1,Dante Moretti,Technical Lead,primary
site,JP-TYO-BO1,Lysandra Vane,Operations Center (NOC),secondary
site,JP-OSA-BO1,Elias Thorne,Technical Lead,primary
site,JP-OSA-BO1,Sabina Glass,Operations Center (NOC),secondary
site,KR-SEL-BO1,Felix Vane,Technical Lead,primary
site,KR-SEL-BO1,Atticus Thorne,Operations Center (NOC),secondary
site,IN-DEL-BO1,Gideon Cross,Technical Lead,primary
site,IN-DEL-BO1,Bram Stoker,Operations Center (NOC),secondary
site,IN-HYD-BO1,Hugo Belmonte,Technical Lead,primary
site,IN-HYD-BO1,Calliope Glass,Operations Center (NOC),secondary
site,IN-CHE-BO1,Isla McAllister,Technical Lead,primary
site,IN-CHE-BO1,Elias Thorne,Operations Center (NOC),secondary
site,IN-PUN-BO1,Jasper Hale,Technical Lead,primary
site,IN-PUN-BO1,Lachlan Moore,Operations Center (NOC),secondary
site,PK-KHI-BO1,Kaito Tanaka,Technical Lead,primary
site,PK-KHI-BO1,Rafael Costa,Operations Center (NOC),secondary
site,NZ-AKL-BO1,Leander Glass,Technical Lead,primary
site,NZ-AKL-BO1,Sia Sharma,Operations Center (NOC),secondary
